Point,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
1,1916.3,1813.9,2257.4,1984.3,2317.6,2074.2,1739.6,1688.4,64.5
2,1291.1,1300.4,1096.0,1057.4,1109.0,935.0,814.2,788.6,42.4
3,849.4,858.3,864.4,743.3,808.1,528.0,506.0,580.7,36.6
4,1138.9,1034.7,860.7,594.9,552.6,330.4,362.6,549.2,34.1
5,1082.1,717.9,524.2,461.3,509.7,216.8,264.3,433.3,32.7
6,1634.6,867.2,672.9,384.2,281.5,97.6,298.6,452.6,33.5
7,1639.4,855.8,371.9,149.6,115.4,-265.4,-31.0,343.5,33.3
8,1993.0,576.1,422.3,-211.2,-322.7,-486.8,-294.7,414.4,52.1
9,688.5,2078.5,891.7,-1446.3,-1930.4,-2299.3,-1415.3,-35.1,70.3
10,1469.8,1520.0,678.7,1348.8,945.8,835.2,401.6,469.4,26.3
11,1167.2,1112.4,689.2,976.4,794.7,491.7,433.5,482.0,32.9
12,859.1,1110.0,554.9,661.9,695.0,376.6,393.6,493.2,34.1
13,754.0,717.7,606.4,534.7,695.4,334.9,391.1,539.9,30.6
14,680.3,711.8,599.2,492.8,484.5,298.3,404.5,558.6,34.0
15,1647.8,653.6,526.2,601.3,448.0,231.2,448.6,507.5,31.7
16,1553.9,593.0,539.0,318.8,478.5,202.3,358.3,629.9,47.7
17,1914.5,510.1,454.8,295.2,577.8,418.7,688.6,995.0,64.7
18,1125.9,3969.4,3095.3,644.0,1377.7,1202.1,1274.7,3557.9,99.7
19,1187.3,1071.8,510.3,732.2,-19.5,285.4,181.2,-231.9,27.4
20,1083.2,977.5,551.3,640.7,362.0,227.2,336.8,106.4,34.8
21,890.1,743.0,490.0,481.9,520.0,263.0,465.3,482.1,33.8
22,561.4,705.1,727.4,477.6,722.4,484.8,520.6,596.3,34.1
23,592.3,515.2,467.9,455.9,730.1,567.0,558.6,741.5,36.1
24,1295.4,676.0,702.5,738.0,830.0,805.7,664.0,928.2,37.3
25,2558.3,245.9,487.2,201.9,434.0,372.7,682.2,986.1,48.2
26,1401.8,52.7,408.1,78.8,555.5,481.8,744.4,1387.5,70.5
27,686.0,2415.3,2556.7,533.0,928.6,1361.4,1460.9,3492.3,88.5
28,1266.9,1016.5,792.3,695.9,-54.6,535.0,426.2,-582.6,41.8
29,974.3,767.1,525.1,513.7,-27.0,56.9,412.6,-139.2,42.0
30,678.2,595.7,425.1,464.7,319.4,122.7,477.2,357.6,37.0
31,460.3,363.0,348.1,509.1,553.0,517.6,609.8,627.0,37.4
32,340.5,453.0,431.3,478.5,628.1,692.7,728.9,726.0,35.6
33,559.3,328.8,521.7,576.2,573.1,730.8,890.5,1062.6,43.1
34,793.1,313.2,128.6,330.4,519.8,492.3,873.0,1135.4,49.7
35,3510.6,60.7,301.5,251.9,548.3,691.7,1141.9,1851.8,92.0
36,1945.0,2542.9,2697.2,543.1,1039.4,1627.3,1629.9,3348.8,80.3
37,1186.8,957.4,741.8,556.8,-373.3,356.7,419.3,-369.7,33.0
38,604.4,471.7,348.2,248.1,-361.4,-49.9,323.3,-151.0,31.3
39,372.9,365.1,234.5,359.8,209.0,308.5,520.2,495.3,32.6
40,383.7,230.2,406.8,403.7,350.5,481.5,616.8,725.7,33.8
41,350.9,92.2,305.1,372.5,411.8,567.5,673.5,667.8,31.7
42,127.4,463.8,339.9,564.4,592.9,762.9,1055.8,1148.7,44.0
43,437.8,111.7,411.5,491.6,368.2,680.6,1046.6,1394.9,56.8
44,4373.6,248.0,669.3,385.6,564.6,741.3,1234.8,1665.5,85.7
45,1601.2,3179.2,2308.7,814.5,884.3,1147.7,1650.8,3029.1,78.3
46,85.2,-106.1,-548.6,-547.4,-1843.5,-1023.8,-623.7,-1012.9,-16.6
47,261.5,234.6,-45.0,140.0,-597.3,-391.6,1.6,-50.0,12.5
48,140.9,255.4,108.0,234.5,76.7,55.8,371.7,413.4,23.9
49,56.1,290.0,303.2,355.9,330.9,303.2,559.0,625.0,29.1
50,393.6,168.9,305.5,466.1,528.9,550.6,760.9,946.5,32.9
51,-2.6,20.9,904.1,539.7,667.7,1002.2,1132.2,1334.3,42.8
52,107.8,83.0,391.7,527.2,599.5,946.1,1260.4,1808.1,58.4
53,861.8,282.2,888.5,723.9,584.9,1244.8,1525.1,2213.1,93.0
54,12763.7,4938.8,570.5,-32.4,409.6,892.7,1620.0,3241.4,68.3
55,-74.0,-92.2,-31.3,-73.0,-172.5,70.3,131.2,17.5,-4.3
56,-124.1,-101.3,-203.9,-85.5,-172.5,-102.4,107.4,128.8,1.8
57,-60.7,54.9,153.9,124.6,148.8,197.2,409.7,492.9,10.1
58,-62.3,161.3,175.4,167.0,300.1,418.9,557.2,655.8,22.4
59,134.3,-29.4,148.3,274.4,505.7,760.8,800.4,1112.6,29.6
60,113.2,57.5,686.7,434.5,788.0,1014.0,1001.8,1355.0,41.3
61,170.0,181.3,363.6,553.7,952.6,1272.0,1280.3,1785.2,54.5
62,233.4,337.5,1203.8,1293.0,2007.4,2377.6,1909.2,2387.4,86.3
63,2733.4,4231.4,5597.4,4062.8,5364.6,5585.5,4533.4,5381.2,133.6
