Point,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
1,543.1,611.3,847.3,835.0,1154.2,1112.3,921.1,805.6,9.0
2,752.2,837.1,1390.5,1169.9,1569.1,1523.2,1264.6,1206.8,20.8
3,749.1,834.5,1244.1,1075.2,1331.8,1440.3,1112.6,1006.9,16.9
4,716.4,808.5,1118.6,1030.5,1250.8,1365.5,979.9,817.9,11.6
5,770.5,870.2,1163.6,1083.4,1326.6,1418.0,949.5,769.4,9.8
6,846.1,979.6,1267.4,1207.9,1466.4,1563.5,938.0,746.9,8.4
7,1086.4,1300.3,1677.3,1650.6,2013.0,2070.9,1319.3,1014.5,8.2
8,1471.8,1800.7,2418.3,2446.7,2986.8,2966.1,1945.5,1419.7,8.7
9,2265.3,2882.7,4211.0,4473.1,5510.2,5272.5,3414.5,2399.5,11.1
10,1574.5,1712.4,3379.4,2504.6,3926.1,3666.1,3535.6,3180.1,80.3
11,1195.6,1295.7,2355.6,1821.8,2624.0,2655.7,2266.0,2109.3,50.2
12,920.2,1016.6,1614.3,1363.0,1733.3,1906.7,1445.2,1298.3,28.5
13,797.7,908.3,1242.3,1115.0,1330.5,1470.9,1035.4,861.0,16.6
14,815.9,950.6,1194.3,1106.9,1309.8,1372.5,907.2,756.2,12.4
15,910.8,1082.4,1355.3,1061.1,1416.9,1493.0,859.3,755.9,10.2
16,1221.3,1509.1,1892.3,1813.6,2088.9,2042.7,1299.0,1014.6,10.5
17,1729.1,2141.5,2665.0,2597.3,2913.0,2766.1,1764.0,1391.7,11.2
18,1954.6,2291.5,3090.4,3189.6,3613.8,3226.0,2467.2,1699.6,12.0
19,1853.3,2068.3,3429.9,3086.0,4902.5,4237.9,3809.0,4016.2,78.5
20,1482.6,1640.1,2651.9,2341.2,3314.3,3229.5,2637.9,2743.0,55.6
21,1070.8,1201.0,1810.3,1635.5,2051.4,2193.6,1596.7,1524.3,31.8
22,892.7,1028.9,1406.1,1311.6,1508.7,1593.6,1105.6,990.2,18.7
23,895.5,1051.5,1303.1,1214.7,1397.1,1440.1,921.7,795.2,13.8
24,1020.6,1203.5,1394.1,1104.0,1537.0,1246.4,855.2,631.2,10.8
25,1439.0,1740.1,2029.9,1994.5,2202.6,2076.9,1227.6,1034.5,12.4
26,1961.4,2391.3,2806.5,2799.4,3051.2,2824.7,1749.0,1411.4,14.6
27,2595.6,2821.0,3193.9,3274.2,3675.1,3244.0,2339.1,1731.4,16.2
28,1815.2,2104.5,3227.6,3171.8,5087.9,4081.4,3585.8,4304.2,66.9
29,1577.8,1751.4,2618.1,2483.7,3735.5,3454.1,2635.2,3076.7,49.4
30,1143.4,1289.2,1818.4,1694.2,2239.2,2305.6,1574.8,1640.2,29.6
31,966.5,1120.3,1483.4,1302.8,1595.5,1617.4,1070.6,1011.5,18.7
32,961.1,1131.4,1373.8,1211.3,1485.6,1431.4,856.4,784.2,13.2
33,1093.2,1302.4,1507.7,1220.4,1620.9,1412.9,738.4,589.4,10.1
34,1515.5,1800.4,2123.4,1893.0,2241.3,2041.5,1088.9,995.5,13.7
35,2161.1,2547.6,2919.5,2707.3,3134.7,2817.2,1571.7,1376.2,17.1
36,2613.1,3006.3,3226.5,3330.4,3791.9,3398.8,2192.1,1688.7,19.3
37,1867.6,2144.4,3195.0,3260.6,5314.4,4280.6,3614.5,4166.9,73.9
38,1507.6,1712.7,2419.9,2400.7,3714.0,3281.6,2450.7,2785.6,50.7
39,1103.5,1260.9,1691.5,1570.6,2206.7,2139.5,1456.3,1482.3,29.0
40,921.4,1122.4,1429.6,1228.0,1595.7,1547.7,992.8,950.0,19.6
41,974.1,1164.9,1358.1,1125.0,1451.9,1350.4,779.1,723.8,14.2
42,1148.9,1365.0,1519.6,1170.7,1570.1,1380.5,609.2,638.3,12.8
43,1521.1,1813.4,2076.4,1747.4,2198.1,1912.2,965.6,861.7,15.4
44,2153.4,2550.0,2905.7,2497.7,3102.1,2724.4,1433.7,1260.0,21.0
45,2615.1,3124.2,3424.1,3128.6,3846.2,3544.2,2055.5,1593.3,24.8
46,1710.6,1934.2,2875.3,2854.5,4876.8,4043.4,3196.7,3431.5,85.7
47,1322.7,1509.1,2086.4,1822.7,3142.4,2806.5,2053.7,2079.2,49.6
48,1029.0,1171.5,1501.6,1284.2,1914.5,1821.9,1233.4,1210.0,30.1
49,926.7,1049.9,1296.9,1103.5,1450.9,1371.9,863.8,821.3,21.7
50,804.7,1083.8,1267.7,994.8,1273.5,1181.3,687.8,618.5,17.7
51,1128.0,1298.2,1066.1,1134.9,1382.9,1213.8,540.2,559.2,16.1
52,1460.8,1724.6,1909.9,1502.5,1877.0,1562.4,765.1,666.9,18.8
53,1993.3,2411.7,2700.5,2152.9,2676.3,2207.3,1079.2,917.6,24.0
54,2537.4,2865.6,3218.6,2984.3,3692.0,3287.9,1828.5,1369.4,31.2
55,788.1,881.4,1113.3,1053.8,1381.3,1194.9,854.7,936.2,36.7
56,992.6,1103.7,1406.0,1275.6,1851.9,1652.4,1204.2,1206.4,42.0
57,940.4,1032.2,1243.0,1129.5,1474.0,1348.1,903.1,890.7,34.3
58,921.9,1021.9,1165.3,1053.7,1219.6,1113.6,737.5,691.2,27.0
59,968.0,1065.2,1164.3,997.3,1130.7,994.2,615.8,548.1,22.4
60,1126.5,1208.2,970.6,1026.1,1145.0,978.0,567.5,483.8,20.0
61,1468.4,1557.1,1603.5,1283.3,1382.0,1131.5,633.1,531.6,22.0
62,1701.3,1818.5,1828.0,1441.4,1536.8,1208.6,683.4,566.0,22.7
63,1444.1,1471.7,1361.7,1064.4,1148.0,907.9,542.8,457.6,18.0
