Point,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
1,2459.4,2425.2,3104.6,2819.3,3471.8,3186.5,2660.6,2494.0,73.5
2,2043.3,2137.5,2486.5,2227.3,2678.1,2458.2,2078.8,1995.4,63.3
3,1598.5,1692.8,2108.5,1818.5,2139.9,1968.3,1618.6,1587.6,53.5
4,1855.3,1843.3,1979.3,1625.4,1803.4,1695.9,1342.5,1367.2,45.7
5,1852.6,1588.1,1687.8,1544.7,1836.3,1634.8,1213.8,1202.7,42.5
6,2480.7,1846.8,1940.3,1592.1,1747.9,1661.1,1236.6,1199.5,41.9
7,2725.8,2156.1,2049.2,1800.2,2128.4,1805.5,1288.3,1358.0,41.5
8,3464.8,2376.8,2840.6,2235.5,2664.1,2479.3,1650.8,1834.1,60.8
9,2953.8,4961.2,5102.7,3026.8,3579.8,2973.2,1999.2,2364.4,81.4
10,3044.3,3232.4,4058.1,3853.4,4871.9,4501.3,3937.2,3649.5,106.6
11,2362.8,2408.1,3044.8,2798.2,3418.7,3147.4,2699.5,2591.3,83.1
12,1779.3,2126.6,2169.2,2024.9,2428.3,2283.3,1838.8,1791.5,62.6
13,1551.7,1626.0,1848.7,1649.7,2025.9,1805.8,1426.5,1400.9,47.2
14,1496.2,1662.5,1793.5,1599.7,1794.3,1670.8,1311.7,1314.8,46.4
15,2558.6,1736.0,1881.5,1662.4,1864.9,1724.2,1307.9,1263.4,42.0
16,2775.2,2102.1,2431.3,2132.4,2567.4,2245.0,1657.3,1644.5,58.1
17,3643.6,2651.6,3119.8,2892.5,3490.8,3184.8,2452.6,2386.7,76.0
18,3080.5,6260.9,6185.7,3833.6,4991.5,4428.1,3741.9,5257.5,111.8
19,3040.6,3140.1,3940.2,3818.2,4883.0,4523.3,3990.2,3784.3,105.9
20,2565.8,2617.6,3203.2,2981.9,3676.3,3456.7,2974.7,2849.4,90.4
21,1960.9,1944.0,2300.3,2117.4,2571.4,2456.6,2062.0,2006.4,65.6
22,1454.1,1734.0,2133.5,1789.2,2231.1,2078.4,1626.2,1586.4,52.8
23,1487.9,1566.7,1771.0,1670.6,2127.2,2007.1,1480.2,1536.7,49.9
24,2316.0,1879.5,2096.6,1842.0,2367.0,2052.1,1519.2,1559.4,48.2
25,3997.3,1986.0,2517.1,2196.4,2636.6,2449.6,1909.8,2020.6,60.6
26,3363.2,2444.0,3214.6,2878.2,3606.7,3306.5,2493.4,2798.9,85.1
27,3281.6,5236.3,5750.6,3807.2,4603.7,4605.4,3800.0,5223.7,104.7
28,3082.1,3121.0,4019.9,3867.7,5033.3,4616.4,4012.0,3721.6,108.7
29,2552.1,2518.5,3143.2,2997.4,3708.5,3511.0,3047.8,2937.5,91.4
30,1821.6,1884.9,2243.5,2158.9,2558.6,2428.3,2052.0,1997.8,66.5
31,1426.8,1483.3,1831.5,1811.9,2148.5,2135.0,1680.4,1638.5,56.1
32,1301.6,1584.4,1805.1,1689.8,2113.7,2124.1,1585.3,1510.2,48.8
33,1652.5,1631.2,2029.4,1796.6,2194.0,2143.7,1628.9,1652.0,53.3
34,2308.6,2113.6,2252.0,2223.4,2761.1,2533.8,1961.9,2130.9,63.4
35,5671.7,2608.3,3221.0,2959.2,3683.0,3508.9,2713.6,3228.0,109.1
36,4558.1,5549.2,5923.7,3873.5,4831.3,5026.1,3822.0,5037.5,99.6
37,3054.4,3101.8,3936.8,3817.4,4941.1,4637.3,4033.8,3797.2,106.8
38,2112.0,2184.4,2768.1,2648.8,3352.6,3231.7,2774.0,2634.6,82.0
39,1476.4,1626.0,1926.0,1930.4,2415.7,2448.0,1976.5,1977.6,61.5
40,1305.1,1352.6,1836.4,1631.7,1946.2,2029.2,1609.5,1675.6,53.4
41,1325.0,1257.1,1663.2,1497.5,1863.7,1917.9,1452.6,1391.5,46.0
42,1276.3,1828.8,1859.5,1735.1,2163.0,2143.4,1665.0,1787.0,56.8
43,1958.9,1925.1,2487.9,2239.0,2566.3,2592.8,2012.2,2256.6,72.2
44,6527.0,2798.0,3575.0,2883.3,3666.7,3465.7,2668.5,2925.5,106.7
45,4216.3,6303.4,5732.8,3943.1,4730.5,4691.9,3706.3,4622.4,103.1
46,1795.8,1828.1,2326.7,2307.1,3033.3,3019.6,2573.0,2418.6,69.1
47,1584.2,1743.7,2041.4,1962.7,2545.1,2414.9,2055.3,2029.2,62.1
48,1169.9,1426.9,1609.6,1518.8,1991.2,1877.7,1605.1,1623.4,54.0
49,982.8,1339.9,1600.1,1459.4,1781.8,1675.1,1422.8,1446.4,50.8
50,1198.3,1252.7,1573.2,1460.9,1802.4,1731.9,1448.7,1565.0,50.6
51,1125.4,1319.1,1970.2,1674.6,2050.6,2216.0,1672.4,1893.5,58.9
52,1568.6,1807.6,2301.6,2029.7,2476.5,2508.5,2025.5,2475.0,77.2
53,2855.1,2693.9,3589.0,2876.8,3261.2,3452.1,2604.3,3130.7,117.0
54,15301.1,7804.4,3789.1,2951.9,4101.6,4180.6,3448.5,4610.8,99.5
55,714.1,789.3,1082.0,980.8,1208.8,1265.2,985.9,953.8,32.4
56,868.5,1002.4,1202.1,1190.1,1679.4,1550.0,1311.6,1335.2,43.8
57,879.7,1087.1,1396.9,1254.1,1622.8,1545.3,1312.8,1383.6,44.4
58,859.6,1183.2,1340.7,1220.7,1519.7,1532.5,1294.7,1347.0,49.3
59,1102.3,1035.8,1312.6,1271.7,1636.4,1754.9,1416.2,1660.7,52.0
60,1239.7,1265.7,1657.2,1460.6,1933.0,1992.0,1569.3,1838.8,61.3
61,1638.4,1738.4,1967.1,1837.0,2334.6,2403.5,1913.4,2316.8,76.4
62,1934.7,2156.0,3031.8,2734.4,3544.2,3586.2,2592.6,2953.5,108.9
63,4177.5,5703.1,6959.1,5127.2,6512.6,6493.4,5076.2,5838.8,151.6
