Point,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
1,719.9,1149.8,1022.7,1214.1,1102.4,1259.0,1788.7,884.4,259.8
2,1118.2,1787.7,1737.9,2035.6,2267.2,2586.6,2568.6,1724.5,593.2
3,938.8,1543.9,1436.0,1654.8,1746.8,1873.4,1781.6,1232.5,368.8
4,765.0,1232.7,1157.1,1252.4,1312.0,1473.2,1222.7,839.3,247.4
5,694.6,1055.8,1023.5,1086.2,1045.2,1231.0,993.1,658.5,205.0
6,662.8,945.9,929.0,1015.8,901.9,1049.2,880.3,554.3,190.0
7,795.6,1066.8,1091.8,1222.6,991.8,1080.3,1010.2,652.0,226.7
8,1025.2,1289.0,1421.6,1614.9,1180.8,1222.8,1291.5,866.4,297.2
9,1589.4,1822.9,2353.8,2650.5,1712.8,1695.1,2077.0,1406.8,475.7
10,4208.3,6392.3,7282.2,8960.5,8914.6,9136.4,8682.8,5033.7,2018.2
11,2362.1,3704.9,3996.8,4595.3,4548.7,4967.3,4671.7,3072.6,1128.3
12,1347.4,2308.6,2215.9,2531.9,2441.4,2625.7,2487.1,1657.8,544.0
13,901.8,1567.3,1453.4,1562.9,1541.8,1640.1,1492.2,980.0,309.0
14,736.9,1175.0,1112.1,1189.3,1123.5,1262.6,1082.4,712.2,235.7
15,691.3,995.7,957.7,1070.6,936.2,1035.4,901.1,577.9,211.1
16,823.1,1096.1,1115.5,1279.1,1028.9,1074.2,1038.1,681.0,250.3
17,1051.1,1326.5,1409.5,1638.8,1192.9,1202.3,1308.5,859.4,315.8
18,1129.4,1272.7,1582.9,1802.3,1191.5,1187.0,1330.8,911.0,332.0
19,5083.0,8584.4,8065.5,9947.2,9988.8,9253.3,9134.1,5548.3,2222.4
20,3168.8,5307.9,5054.7,5983.2,3333.9,5944.0,5743.3,3728.6,1449.5
21,1639.4,2909.7,2711.0,3150.5,2297.5,3082.3,2942.3,1955.9,735.9
22,1016.6,1816.9,1661.8,1829.3,1680.9,1878.5,1674.7,1115.7,402.5
23,803.9,1318.2,1196.7,1316.3,1251.1,1353.0,1143.0,767.0,290.0
24,750.5,1112.3,1003.5,1152.0,1004.8,1079.0,930.3,621.9,253.0
25,893.7,1209.1,1134.2,1354.7,1082.3,1106.0,1031.7,723.9,285.7
26,1119.7,1404.6,1408.0,1698.9,1243.7,1236.7,1287.9,895.9,342.0
27,1329.2,1434.1,1705.1,1992.4,1310.4,1252.0,1540.8,983.6,376.9
28,5327.3,8810.5,7850.3,9921.6,10432.0,9476.5,9372.0,5775.3,2313.8
29,3420.1,5832.6,5197.7,6305.4,6200.3,6131.6,5998.8,3916.9,1588.2
30,1757.0,3278.6,2889.0,3398.3,3173.0,3194.5,3132.1,2038.8,860.3
31,1086.1,2001.1,1759.5,1984.5,1877.9,1950.8,1765.7,1185.5,479.9
32,842.4,1376.2,1208.3,1383.9,1296.4,1374.2,1182.9,783.6,333.1
33,774.2,1144.0,975.6,1176.4,1046.9,1086.1,952.8,626.3,283.1
34,925.0,1246.6,1108.9,1387.0,1147.1,1123.3,1069.7,721.7,317.0
35,1195.8,1448.5,1407.7,1758.4,1327.0,1255.6,1347.7,910.3,381.4
36,1380.6,1499.6,1703.7,2032.4,1393.0,1278.6,1609.4,1027.9,404.6
37,5518.6,9737.6,7516.8,9786.4,10326.0,9399.0,9158.7,5874.3,2364.6
38,3370.0,5883.3,4842.9,5916.0,5816.7,5713.8,5381.2,3546.9,1552.9
39,1669.3,3275.1,2708.7,3150.3,2953.2,2902.0,2770.4,1801.3,833.0
40,1071.4,1991.7,1646.9,1919.5,1742.5,1808.6,1633.6,1080.0,504.4
41,840.3,1360.7,1105.6,1338.9,1240.0,1266.7,1093.5,729.0,360.4
42,776.8,1149.8,911.7,1155.4,1034.9,1025.7,897.6,612.2,309.6
43,930.6,1246.2,1044.2,1345.0,1140.7,1051.3,1003.9,706.8,328.1
44,1177.1,1438.9,1342.0,1711.6,1333.9,1199.2,1272.3,890.8,398.2
45,1408.4,1488.1,1679.2,2082.5,1446.1,1234.4,1594.2,1010.3,442.8
46,4927.0,8617.1,6246.3,8389.1,8649.2,7982.3,7228.4,4727.1,1999.8
47,2764.0,4959.8,3770.9,4804.3,4518.2,4303.5,3922.8,2523.2,1188.7
48,1506.4,2879.1,2185.4,2660.4,2388.3,2281.6,2210.3,1382.4,716.0
49,985.6,1855.3,1396.8,1698.9,1520.0,1523.0,1384.5,918.1,483.4
50,781.2,1287.1,949.6,1224.8,1098.4,1091.1,945.2,646.1,361.5
51,734.2,1084.9,813.2,1060.8,955.9,923.5,801.0,573.5,319.1
52,856.6,1129.8,901.4,1187.9,1026.8,944.6,860.3,649.7,338.6
53,1070.2,1264.2,1146.9,1508.6,1213.2,1027.3,1067.4,789.9,390.4
54,1324.6,1382.9,1531.6,2016.2,1400.3,1153.4,1486.5,970.7,455.4
55,1179.3,2478.6,1278.5,1793.7,1644.7,1260.4,1231.0,758.4,313.7
56,1592.2,2794.3,1898.4,2487.9,2364.0,2143.2,1049.2,1157.1,305.3
57,1141.1,2057.1,1513.9,1863.8,1671.8,1561.6,1080.3,928.0,320.7
58,859.7,1480.8,1091.9,1435.4,1234.6,1229.7,1222.8,729.9,314.2
59,690.3,1066.1,758.6,1030.5,911.7,903.4,1231.0,547.6,314.0
60,682.3,950.0,703.9,938.6,857.0,822.2,1049.2,513.3,305.6
61,742.7,961.0,749.4,985.8,859.9,812.3,1080.3,559.2,321.1
62,803.9,954.5,779.0,1006.5,839.3,767.1,1222.8,558.7,314.5
63,666.8,767.5,637.9,791.6,652.1,599.8,1695.1,452.7,237.2
