Point,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
1,4728.4,7359.3,6298.9,8271.2,7243.2,4798.4,4952.1,3169.5,1539.3
2,3841.8,5464.0,4205.9,5011.1,4317.5,2939.2,3314.9,2305.2,1189.4
3,2562.7,3540.8,2692.5,3130.4,2812.3,2107.0,2278.4,1660.1,878.6
4,1846.6,2463.9,1931.2,2216.2,2085.6,1881.5,1707.7,1274.7,706.8
5,1399.9,1904.2,1513.7,1752.4,1676.5,1384.7,1384.8,1037.7,572.5
6,1261.8,1703.1,1359.9,1576.5,1531.6,1276.6,1278.8,946.0,518.3
7,1186.4,1654.2,1325.4,1560.0,1524.6,1309.2,1272.1,928.2,513.7
8,1253.4,1774.0,1444.8,1708.3,1683.0,1391.5,1354.0,1023.8,573.3
9,1376.9,1983.7,1651.1,2009.7,1946.4,1548.9,1588.2,1178.1,632.2
10,6051.6,9353.0,8235.3,11367.2,10712.3,7635.7,10277.7,5958.3,2737.7
11,4515.9,6585.7,5224.4,6614.7,5974.2,4238.9,4997.4,3489.2,1730.2
12,2736.3,3766.7,3050.3,3640.5,3326.9,2492.7,2768.0,2055.4,1094.0
13,1829.0,2504.7,1997.5,2349.7,2222.2,1778.2,1908.0,1396.1,764.3
14,1353.1,1888.1,1511.3,1774.3,1725.9,1425.6,1438.2,1087.5,608.1
15,1209.4,1656.3,1334.9,1571.6,1554.0,1308.0,1296.4,977.1,549.9
16,1216.0,1756.5,1414.1,1694.8,1700.5,1423.3,1424.6,1072.5,593.7
17,1417.9,2048.1,1676.3,2023.1,2024.7,1635.6,1692.3,1287.6,693.9
18,1700.7,2484.5,2061.2,2557.2,2522.5,1989.5,2133.5,1606.0,850.4
19,6187.0,9862.3,8437.4,11593.9,10919.0,7593.6,9848.1,5836.0,2688.2
20,4725.1,6710.5,5519.2,6957.5,6369.3,4455.0,5616.8,4055.4,2059.9
21,2787.6,3925.8,3199.4,3882.1,3620.9,2677.8,3092.6,2376.7,1267.2
22,1866.6,2561.1,2103.9,2509.3,2400.3,1890.5,2137.7,1611.7,883.0
23,1379.0,1908.7,1575.8,1898.0,1865.9,1532.5,1628.1,1227.6,685.1
24,1202.9,1827.9,1392.0,1656.0,1660.9,1521.7,1410.7,1065.8,594.5
25,1313.3,1837.0,1492.9,1791.1,1806.4,1493.3,1497.2,1164.5,654.2
26,1450.5,2092.7,1713.4,2059.3,2068.3,1674.9,1704.7,1316.1,726.9
27,1646.2,2438.1,2017.1,2503.9,2492.8,1950.5,2124.0,1599.5,846.8
28,6277.0,9851.9,8548.7,11716.8,10947.7,7905.1,10051.1,5906.4,2748.0
29,4506.1,6699.4,5483.1,6986.1,6410.9,4778.6,5745.7,4111.0,2100.5
30,2554.8,3760.8,3019.7,3743.4,3532.1,2621.5,3141.0,2446.8,1323.9
31,1753.9,2537.6,2032.2,2473.6,2424.1,1892.4,2081.5,1666.1,937.7
32,1315.8,1879.8,1511.5,1836.0,1840.6,1507.3,1582.6,1262.0,715.5
33,1140.8,1687.7,1344.7,1622.5,1657.8,1367.5,1421.8,1101.5,629.5
34,1211.2,1773.8,1434.1,1730.0,1764.9,1469.8,1484.2,1161.1,652.0
35,1463.0,2135.5,1734.6,2107.3,2128.3,1726.4,1772.8,1373.4,755.9
36,1725.6,2519.2,2077.3,2586.5,2592.7,2018.1,2122.7,1604.1,848.9
37,6354.9,9914.2,8554.8,11782.6,11150.2,7884.0,9886.9,5846.7,2660.8
38,3660.7,5482.5,4612.8,6068.3,5750.3,4142.1,5332.4,3825.3,1952.5
39,2164.2,3067.5,2592.8,3284.6,3176.3,2444.5,2975.9,2322.2,1272.1
40,1479.4,2097.6,1720.4,2140.6,2144.3,1739.6,1932.9,1566.4,890.8
41,1166.3,1675.5,1328.7,1645.5,1660.4,1388.1,1464.7,1188.0,686.5
42,1072.4,1615.4,1277.2,1570.0,1641.1,1359.0,1402.9,1115.7,636.5
43,1188.7,1707.6,1393.0,1703.1,1774.5,1458.5,1486.8,1176.8,664.8
44,1458.7,2092.3,1697.5,2078.6,2100.0,1721.5,1760.8,1363.4,752.4
45,1771.6,2639.7,2132.3,2612.1,2571.5,2006.2,2114.2,1605.9,857.0
46,2850.5,4499.3,3752.0,5471.0,5890.2,4951.3,6528.3,3843.2,1786.7
47,2155.4,3390.1,2699.0,3668.8,3686.5,2826.0,3696.0,2791.3,1481.9
48,1549.6,2333.9,1853.4,2354.6,2394.9,1906.5,2316.3,1871.2,1059.4
49,1163.3,1722.5,1378.7,1734.0,1772.4,1482.7,1701.1,1375.6,803.3
50,1063.5,1511.4,1218.8,1525.9,1577.6,1332.2,1439.9,1172.8,685.1
51,1015.6,1480.4,1192.8,1471.2,1529.3,1319.7,1349.0,1089.9,632.0
52,1109.0,1668.2,1318.9,1611.1,1675.0,1440.9,1507.1,1163.8,664.4
53,1403.9,2097.0,1678.3,2044.2,2057.1,1670.1,1766.0,1367.2,766.2
54,1771.5,2744.7,2057.6,2438.7,2384.7,1905.7,1996.1,1522.8,826.6
55,719.8,1133.0,813.0,999.0,1014.6,912.6,886.3,639.7,353.1
56,1253.2,1764.9,1333.2,1689.1,1761.8,1511.3,1929.2,1540.4,896.3
57,1094.3,1709.2,1296.4,1625.8,1685.2,1446.3,1717.9,1429.3,848.2
58,1065.9,1546.0,1168.7,1471.4,1518.7,1306.3,1463.7,1231.5,749.7
59,971.5,1501.1,1115.6,1391.1,1449.7,1254.7,1348.6,1132.8,682.3
60,961.4,1398.6,1096.1,1358.6,1423.1,1226.3,1273.0,1047.7,619.6
61,1049.7,1519.9,1204.3,1501.9,1567.9,1374.1,1372.2,1091.2,626.1
62,1335.0,1983.2,1556.5,1934.0,2000.1,1671.0,1701.6,1340.6,751.2
63,2205.6,3342.4,2677.8,3309.1,3337.0,2616.1,2755.4,2140.2,1162.8
