Hour,Line,Sensor,Point,Experimental_lux,Radiance_lux,Difference_lux,Error_%
9:00,1,I1N,1,543.1,2459.4,1916.3,352.9
9:00,1,I2N,2,752.2,2043.3,1291.1,171.6
9:00,1,I3N,3,749.1,1598.5,849.4,113.4
9:00,1,I4N,4,716.4,1855.3,1138.9,159.0
9:00,1,I1S,5,770.5,1852.6,1082.1,140.4
9:00,1,I2S,6,846.1,2480.7,1634.6,193.2
9:00,1,I3S,7,1086.4,2725.8,1639.4,150.9
9:00,1,I4S,8,1471.8,3464.8,1993.0,135.4
9:00,1,I5S,9,2265.3,2953.8,688.5,30.4
9:00,2,I1N,10,1574.5,3044.3,1469.8,93.3
9:00,2,I2N,11,1195.6,2362.8,1167.2,97.6
9:00,2,I3N,12,920.2,1779.3,859.1,93.4
9:00,2,I4N,13,797.7,1551.7,754.0,94.5
9:00,2,I1S,14,815.9,1496.2,680.3,83.4
9:00,2,I2S,15,910.8,2558.6,1647.8,180.9
9:00,2,I3S,16,1221.3,2775.2,1553.9,127.2
9:00,2,I4S,17,1729.1,3643.6,1914.5,110.7
9:00,2,I5S,18,1954.6,3080.5,1125.9,57.6
9:00,3,I1N,19,1853.3,3040.6,1187.3,64.1
9:00,3,I2N,20,1482.6,2565.8,1083.2,73.1
9:00,3,I3N,21,1070.8,1960.9,890.1,83.1
9:00,3,I4N,22,892.7,1454.1,561.4,62.9
9:00,3,I1S,23,895.5,1487.9,592.3,66.1
9:00,3,I2S,24,1020.6,2316.0,1295.4,126.9
9:00,3,I3S,25,1439.0,3997.3,2558.3,177.8
9:00,3,I4S,26,1961.4,3363.2,1401.8,71.5
9:00,3,I5S,27,2595.6,3281.6,686.0,26.4
9:00,4,I1N,28,1815.2,3082.1,1266.9,69.8
9:00,4,I2N,29,1577.8,2552.1,974.3,61.8
9:00,4,I3N,30,1143.4,1821.6,678.2,59.3
9:00,4,I4N,31,966.5,1426.8,460.3,47.6
