Hour,Line,Sensor,Point,Experimental_lux,Radiance_lux,Difference_lux,Error_%
9:00,1,I1N,1,719.9,4728.4,4008.5,556.8
9:00,1,I2N,2,1118.2,3841.8,2723.6,243.6
9:00,1,I3N,3,938.8,2562.7,1623.9,173.0
9:00,1,I4N,4,765.0,1846.6,1081.6,141.4
9:00,1,I1S,5,694.6,1399.9,705.3,101.5
9:00,1,I2S,6,662.8,1261.8,599.0,90.4
9:00,1,I3S,7,795.6,1186.4,390.8,49.1
9:00,1,I4S,8,1025.2,1253.4,228.2,22.3
9:00,1,I5S,9,1589.4,1376.9,-212.5,-13.4
9:00,2,I1N,10,4208.3,6051.6,1843.3,43.8
9:00,2,I2N,11,2362.1,4515.9,2153.8,91.2
9:00,2,I3N,12,1347.4,2736.3,1388.9,103.1
9:00,2,I4N,13,901.8,1829.0,927.2,102.8
9:00,2,I1S,14,736.9,1353.1,616.3,83.6
9:00,2,I2S,15,691.3,1209.4,518.1,74.9
9:00,2,I3S,16,823.1,1216.0,392.9,47.7
9:00,2,I4S,17,1051.1,1417.9,366.8,34.9
9:00,2,I5S,18,1129.4,1700.7,571.3,50.6
9:00,3,I1N,19,5083.0,6187.0,1104.0,21.7
9:00,3,I2N,20,3168.8,4725.1,1556.3,49.1
9:00,3,I3N,21,1639.4,2787.6,1148.2,70.0
9:00,3,I4N,22,1016.6,1866.6,850.0,83.6
9:00,3,I1S,23,803.9,1379.0,575.0,71.5
9:00,3,I2S,24,750.5,1202.9,452.4,60.3
9:00,3,I3S,25,893.7,1313.3,419.6,46.9
9:00,3,I4S,26,1119.7,1450.5,330.8,29.5
9:00,3,I5S,27,1329.2,1646.2,317.0,23.8
9:00,4,I1N,28,5327.3,6277.0,949.7,17.8
9:00,4,I2N,29,3420.1,4506.1,1086.0,31.8
9:00,4,I3N,30,1757.0,2554.8,797.8,45.4
9:00,4,I4N,31,1086.1,1753.9,667.8,61.5
9:00,4,I1S,32,842.4,1315.8,473.5,56.2
9:00,4,I2S,33,774.2,1140.8,366.7,47.4
9:00,4,I3S,34,925.0,1211.2,286.2,30.9
