tau,rho_floor,rho_hall,nmbe_jun,nmbe_nov,nmbe_combined,cvrmse_jun,cvrmse_nov,cvrmse_combined,r2_jun,r2_nov,r2_combined,gof,meets_ashrae,success
0.58,0.05,0.11,27.484764665212303,16.088310771841925,21.786537718527114,59.94025334583788,59.777217800479434,59.858735573158654,0.6639378422137787,0.18861195803275055,0.42627490012326463,63.70024686120246,False,True
0.58,0.05,0.13,27.39652961480213,15.998407728715023,21.69746867175858,60.156476258320914,57.729953394459265,58.94321482639009,0.661508910210082,0.24323746924492473,0.45237318972750334,62.80989349483024,False,True
0.58,0.05,0.15,27.335708325760542,16.420431149049246,21.878069737404893,59.79115354722714,57.49311729678722,58.64213542200718,0.6656076543210574,0.249433942060183,0.4575207981906202,62.59033457561783,False,True
0.58,0.05,0.17,27.400062622020776,16.365083032708178,21.882572827364477,60.11437969911286,57.17057895241814,58.6424793257655,0.6619824859700584,0.25783172213311434,0.45990710405158636,62.59223094776016,False,True
0.58,0.05,0.19,27.268833494520383,16.073200995700223,21.671017245110303,60.09622937179915,56.69566263732778,58.39594600456346,0.6621865703292021,0.2701108997819749,0.4661487350555885,62.287394376436716,False,True
0.58,0.05,0.21,27.429594227176146,15.607716067592934,21.51865514738454,60.358408635651294,57.862598553687064,59.11050359466918,0.659232612237138,0.23975587252669106,0.44949424238191454,62.90551767983042,False,True
0.58,0.05,0.23,26.944786358177776,15.001646340073213,20.973216349125494,59.75835472647027,56.01218374162671,57.885269234048494,0.6659744198294568,0.28760277890664754,0.4767885993680522,61.567687940392126,False,True
0.58,0.05,0.25,27.05873136840683,14.807285439646932,20.93300840402688,59.76280045872776,59.62012855693685,59.69146450783231,0.6659247182089434,0.19287086673314524,0.4293977924710443,63.25552763144786,False,True
0.58,0.05,0.27,27.10736368563829,14.740299922169992,20.923831803904143,59.99769932768149,57.94194764106651,58.969823484374004,0.6632933780825134,0.23766934195521505,0.45048136001886424,62.57193315805657,False,True
0.58,0.05,0.29,27.091469549863774,14.856407383644493,20.973938466754134,59.86145149512827,57.90493768068996,58.88319458790912,0.6648208852678281,0.23864289627697577,0.45173189077240195,62.50709319497075,False,True
0.58,0.05,0.31,26.90862754673617,14.50171484826361,20.70517119749989,60.00507721634429,57.48798608357959,58.74653164996194,0.6632105636834337,0.24956791088245112,0.4563892372829424,62.288514954345786,False,True
0.58,0.05,0.33,26.66539133906396,14.058519693217145,20.36195551614055,59.52454317623568,57.579867907285745,58.55220554176071,0.6685831346531507,0.24716719465879244,0.45787516465597156,61.991693042260756,False,True
0.58,0.05,0.35,26.597784619173602,13.711508881125537,20.15464675014957,59.410035220237454,58.08639127355345,58.74821324689545,0.6698570080351866,0.23386377222916666,0.4518603901321766,62.109277449717744,False,True
0.58,0.07,0.11,27.386292800969166,16.56659475226876,21.976443776618964,59.90419803526845,57.94642514539839,58.92531159033342,0.6643420173892923,0.2375515181385589,0.4509467677639256,62.89003440200026,False,True
0.58,0.07,0.13,27.405441558954596,16.3051457658521,21.855293662403348,60.07460239654906,56.051359018434,58.06298070749153,0.6624296660497214,0.2866059201480845,0.47451779309890296,62.040016035687984,False,True
0.58,0.07,0.15,27.295322578562143,15.777558614363837,21.536440596462988,59.89608455999631,58.24718015195369,59.071632355975,0.664432934834297,0.2296164200410038,0.4470246774376504,62.875082685945245,False,True
0.58,0.07,0.17,27.190445974384964,15.626254779076698,21.40835037673083,59.862914773245,57.50776438329488,58.68533957826994,0.6648044985533056,0.24905146127374378,0.4569279799135247,62.46828433108858,False,True
0.58,0.07,0.19,26.954343253433656,15.480678124106403,21.21751068877003,59.68866592691702,57.378366028014284,58.533515977465655,0.6667530312477465,0.25242708138125647,0.4595900563145015,62.26038268845043,False,True
0.58,0.07,0.21,26.862325941314552,15.093749671082584,20.978037806198568,59.60346499794592,58.2406108987798,58.922037948362856,0.6677037205120773,0.22979018156482722,0.44874695103845225,62.545060765712016,False,True
