tau,rho_floor,rho_hall,nmbe_jun,cvrmse_jun,r2_jun,gof_jun,nmbe_nov,cvrmse_nov,r2_nov,gof_nov,gof_combined,meets_ashrae_jun,meets_ashrae_nov,success
0.68,0.09,0.11,21.324326805589237,53.49743904474524,0.7322999524744687,57.59082303681555,12.644920056639902,37.26548576243316,0.6846660140240545,39.35238788623789,48.47160546152672,False,False,True
0.68,0.09,0.13,21.347973808363776,53.744029180744235,0.7298264012162186,57.828683698518276,13.058042490596094,37.39274593451694,0.6825086302273302,39.60719533379694,48.71793951615761,False,False,True
0.68,0.09,0.15,21.412511267839704,53.63107203069251,0.7309608888747273,57.74761922327786,12.479107099766749,36.76246418553843,0.6931215188957981,38.822762485434296,48.285190854356074,False,False,True
0.68,0.09,0.17,21.203075204993468,53.77281307668604,0.7295369278977122,57.8021264689183,12.402880482014616,37.21395320107465,0.6855375299599284,39.22639107925828,48.51425877408829,False,False,True
0.68,0.09,0.19,20.931139034524392,53.566147838113885,0.7316118762145138,57.510388413722815,11.907596692068207,36.93167975700938,0.6902899279799057,38.80386357896917,48.157125996346,False,False,True
0.68,0.09,0.21,20.89387892311468,53.40817228672196,0.7331925850398406,57.34969087503394,11.534364046155643,36.91311253677505,0.6906012601287441,38.67323921139614,48.01146504321504,False,False,True
0.68,0.11,0.11,21.45110474932525,53.907139964173325,0.728183982491541,58.01835600983104,13.1166945746434,37.22315574594573,0.6853819854639038,39.46658080264127,48.742468406236156,False,False,True
0.68,0.11,0.13,21.56627156996794,53.68482678507333,0.7304212994713747,57.854686036421754,12.961958283165462,36.73497776074097,0.6935802389058701,38.95472954105387,48.40470778873781,False,False,True
0.68,0.11,0.15,21.18155830596518,53.76545455589502,0.7296109456717789,57.78739063040496,12.405996367469104,36.60911364879796,0.6956763980690035,38.654054742294,48.220722686349475,False,False,True
0.68,0.11,0.17,21.049323189823678,53.5932017483335,0.7313407056304362,57.57868772720707,12.511621363064018,36.93439550037671,0.690244377709569,38.99602851715707,48.28735812218207,False,False,True
0.68,0.11,0.19,21.21465100428205,53.88423268500878,0.7284149441949983,57.91003323505914,12.365816222102028,37.108814106588845,0.6873118963850695,39.11492675739236,48.51247999622575,False,False,True
0.68,0.11,0.21,21.24431969108664,53.61654316758601,0.7311066365843668,57.67195870072999,12.321797940730022,37.40705335175685,0.6822656231724357,39.384189022415605,48.52807386157279,False,False,True
0.68,0.13,0.11,21.165499514485347,53.63455729322185,0.7309259202505644,57.659726896141095,12.900210825083027,37.01387178192681,0.6889098648931885,39.197476240448275,48.42860156829468,False,False,True
0.68,0.13,0.13,21.195876629970474,53.72396951626297,0.7300280452093999,57.7540482277847,12.591305025299654,37.22274421824531,0.6853889420644244,39.29470256124928,48.524375394516994,False,False,True
0.68,0.13,0.15,20.963277552386813,53.469371983435245,0.7325807727460085,57.43198365058772,12.225977889417884,36.095614168559855,0.7041537432741793,38.109944864274915,47.77096425743132,False,False,True
0.68,0.13,0.17,21.177736202101144,53.53199036949003,0.7319540526220099,57.56883274450646,12.842624778930803,37.02360165263491,0.6887462902934478,39.187754344251445,48.37829354437895,False,False,True
0.68,0.13,0.19,20.886081975066805,53.52815665605307,0.7319924436680632,57.45861097576384,11.71578913571695,36.83614671370513,0.6918901410282283,38.65438422464123,48.05649760020253,False,False,True
0.68,0.13,0.21,20.942582882788567,53.484676416097486,0.7324276650835502,57.43868373437124,12.005908605759085,36.59823197594311,0.6958572851425531,38.51717052451782,47.97792712944453,False,False,True
0.68,0.15,0.11,20.869707094410586,53.76040448194656,0.7296617374153609,57.669105804312515,11.988844630161699,37.027289198404624,0.6886842855501065,38.91982195422339,48.29446387926795,False,False,True
0.68,0.15,0.13,21.08944472838383,53.59132583360894,0.7313595129824644,57.591621643739096,12.659233235330088,36.88504863150513,0.6910715340040592,38.996961402845024,48.29429152329206,False,False,True
0.68,0.15,0.15,21.189057389271834,53.83375245389562,0.7289235625384414,57.853686626810294,12.685044997657984,36.90189082999512,0.6907893479897467,39.02127513833301,48.43748088257165,False,False,True
0.68,0.15,0.17,21.129667548173064,53.50693447381237,0.7322049141905718,57.527861836515086,12.06138201177586,37.300612855803536,0.6840712552698042,39.202202176057995,48.36503200628654,False,False,True
0.68,0.15,0.19,20.800288045740032,53.450775117014395,0.7327667594004437,57.355360197590954,11.91801522969796,36.83187747574175,0.6919615555597869,38.71209482065476,48.033727509122855,False,False,True
0.68,0.15,0.21,20.82487895777104,53.36754286263147,0.7335983696934394,57.286736814035955,11.620746880673302,36.91810495052409,0.6905175635303455,38.703852924516305,47.99529486927613,False,False,True
0.68,0.17,0.11,20.98127869640853,53.454588280448114,0.7327286293502495,57.42479485351765,12.688620185448288,37.15244847738776,0.6865761159189169,39.25946395552947,48.34212940452356,False,False,True
0.68,0.17,0.13,20.911210878284827,53.50750768606709,0.732199176457746,57.44851711898773,12.266460382413701,37.0962060721873,0.6875243371613813,39.07165923356098,48.26008817627435,False,False,True
0.68,0.17,0.15,21.029546769122646,53.71779474615408,0.7300901001533079,57.687462326788605,12.109574650312421,36.764908196635545,0.6930807142674461,38.7078838599907,48.19767309338965,False,False,True
0.68,0.17,0.17,20.896357871364266,53.53621495290164,0.731911744195324,57.4698536954064,12.11895991107658,36.59170953275866,0.6959656825541649,38.54636683081898,48.00811026311269,False,False,True
0.68,0.17,0.19,20.81457752772943,53.37186445884249,0.7335552226108282,57.28701906602326,11.894109409676034,37.26168559965358,0.6847303233629787,39.113975154371296,48.200497110197276,False,False,True
0.68,0.17,0.21,20.685289388040992,53.24379730872754,0.7348323705746991,57.1207768585115,12.128873013056255,36.709445067371924,0.6940060457708825,38.66125861532758,47.89101773691954,False,False,True
0.68,0.19,0.11,20.95389873946345,53.48185348587724,0.7324559093638756,57.44018214341357,12.37905028021088,36.86007791748116,0.6914896737906788,38.88323841866533,48.16171028103945,False,False,True
0.68,0.19,0.13,20.8338316900743,53.46003565463467,0.7326741531529241,57.376161906188486,12.482464959698817,37.26032064186649,0.6847534206497162,39.29559041170919,48.335876158948835,False,False,True
0.68,0.19,0.15,20.70915871879553,53.46972950903187,0.7325771965103105,57.340049080980904,12.057231660428949,36.412119760666904,0.6989427210282168,38.356476647085294,47.8482628640331,False,False,True
0.68,0.19,0.17,20.655461701608573,53.35236237492475,0.7337499049255498,57.21121104374478,11.917609939406251,37.19755549633491,0.6858145941381497,39.060050711318205,48.1356308775315,False,False,True
0.68,0.19,0.19,20.84163856565058,53.57101651282664,0.73156308592783,57.482412165102794,12.082062668797661,36.277591306039795,0.7011631879252234,38.236629941730065,47.85952105341643,False,False,True
0.68,0.19,0.21,20.763144122678888,53.631085268232525,0.7309607560630454,57.51001183191986,11.727829217140764,37.021461850583286,0.6887822674566799,38.83465740418749,48.172334618053675,False,False,True
0.68,0.21,0.11,20.555680950128405,53.31942061935106,0.7340785890725676,57.14452409904864,11.94582763293223,37.48229845472268,0.6809860783035968,39.33987157178622,48.24219783541743,False,False,True
0.68,0.21,0.13,20.97880677348833,53.653186357487115,0.7307389710484908,57.60880783309616,12.5782687400282,36.676604682666834,0.6945532871819515,38.77352415689074,48.19116599499345,False,False,True
0.68,0.21,0.15,20.744774518761318,53.20407861096743,0.7352278414125868,57.10533819772238,11.879947139165363,36.01685905203698,0.7054433175941894,37.92554917207741,47.51544368489989,False,False,True
0.68,0.21,0.17,20.41561483280729,53.13863847408148,0.7358787716029112,56.925497168498,11.33853286210926,36.60330680851322,0.6957729324138251,38.31924316558564,47.62237016704182,False,False,True
0.68,0.21,0.19,20.74994320227392,53.56891016075289,0.731584194787491,57.4472651978178,11.828851489070734,36.96912902884615,0.6896615083013311,38.81543802022548,48.131351609021635,False,False,True
