tau,rho_floor,rho_hall,nmbe_jun,cvrmse_jun,r2_jun,gof_jun,nmbe_nov,cvrmse_nov,r2_nov,gof_nov,gof_combined,meets_ashrae_jun,meets_ashrae_nov,success
0.68,0.09,0.11,21.147054039180933,53.974551519839274,0.727503738742153,57.969389390469026,12.403663637551121,37.368228895006354,0.6829248284197371,39.37302886981259,48.67120913014081,False,False,True
0.68,0.09,0.13,20.96604763397614,53.62187850046036,0.7310531192594366,57.575003320089266,11.718094510331301,37.352083451954044,0.6831987623653508,39.14705451441776,48.36102891725351,False,False,True
0.68,0.09,0.15,21.14523780342043,53.69622981577138,0.7303067665259307,57.70967144414648,12.03044097555291,36.804895157968836,0.6924127162015177,38.72120630423774,48.21543887419211,False,False,True
0.68,0.09,0.17,20.90974400524519,53.78389961687889,0.7294253916527638,57.705504523948086,11.883255723831482,37.09986088527744,0.6874627623254518,38.95653275517358,48.33101863956084,False,False,True
0.68,0.09,0.19,21.12732615457056,53.86702961516927,0.728588328899327,57.86208421758695,11.876693619813821,36.894994320705166,0.6909049125215142,38.759469259315104,48.310776738451025,False,False,True
0.68,0.09,0.21,21.040573296722997,53.921415609127955,0.7280399992360043,57.88112633619944,11.562370359331315,37.29213635425557,0.6842148275066441,39.04346094022318,48.46229363821131,False,False,True
0.68,0.11,0.11,20.896034045100734,53.73305042317328,0.7299367713364231,57.653143423349356,12.04852643348913,37.07578112921922,0.6878683367905114,38.98436270558049,48.31875306446492,False,False,True
0.68,0.11,0.13,20.969388307428126,53.85388386465435,0.7287207837528014,57.79235289634245,12.001787114339459,37.04685867415245,0.6883551285749299,38.94242714008141,48.367390018211935,False,False,True
0.68,0.11,0.15,20.875211833396808,53.84435325763383,0.728816792680711,57.749362306626836,11.865386150960594,37.19111499596634,0.6859233827946485,39.038012541042605,48.39368742383472,False,False,True
0.68,0.11,0.17,20.81563203618211,53.676143865469186,0.730508495091828,57.57099058842288,11.626169999960064,37.137820455234234,0.686822875910643,38.9151067971448,48.243048692783844,False,False,True
0.68,0.11,0.19,20.832575375236516,53.790167129792586,0.7293623271047216,57.68343156068239,11.661007253079848,37.32922859630227,0.6835863301130416,39.10818837214749,48.395809966414944,False,False,True
0.68,0.11,0.21,20.995022471829223,53.67278877511048,0.7305421838044184,57.63296993466709,11.745665365008053,36.72136507526571,0.6938072935135742,38.55410883236304,48.093539383515065,False,False,True
0.68,0.13,0.11,20.767112854970865,53.642700042237855,0.7308442128914772,57.5222760689509,11.882054408277044,37.171438679859676,0.6862556253769185,39.024339462594675,48.273307765772785,False,False,True
0.68,0.13,0.13,20.77485661472746,53.68646721948366,0.7304048243159305,57.56588772763935,11.371474687881067,37.25428840175283,0.6848554857471787,38.9511545515418,48.25852113959057,False,False,True
0.68,0.13,0.15,20.440774060342296,53.66500452141428,0.7306203379657938,57.42610864815217,11.303163126398275,37.00860488392964,0.6889983918889715,38.69623149761215,48.06117007288216,False,False,True
0.68,0.13,0.17,20.536956604156906,53.40365192551737,0.733237747223699,57.21640171788889,11.416677708288155,36.606352511188774,0.6957223018110543,38.34534618527182,47.78087395158036,False,False,True
0.68,0.13,0.19,20.856559000539452,53.48923526477015,0.7323820492603907,57.41162201639067,11.868685234715654,37.20915951793015,0.6856185391633689,39.05620618072792,48.233914098559296,False,False,True
